state,time,net,age,sex
VA,5407,5009,31,M
VA,5425,5076,31,M
DC,5427,5348,31,M
VA,5488,5165,31,M
VA,5498,5441,31,M
VA,5507,5507,31,M
MD,5517,5412,31,M
VA,5550,5279,31,M
VA,5556,5236,31,M
MD,5566,5162,31,M
VA,5601,5350,31,M
DC,5605,5260,31,M
VA,5639,5467,31,M
VA,5641,5617,31,M
VA,5696,5461,31,M
VA,5711,5254,31,M
DC,5711,5661,31,M
VA,5713,5550,31,M
VA,5726,5291,31,M
VA,5731,5485,31,M
VA,5740,5288,31,M
VA,5740,5291,31,M
VA,5751,5653,31,M
MD,5756,5756,31,M
VA,5768,5486,31,M
PA,5771,5326,31,M
DC,5773,5481,31,M
DC,5778,5287,31,M
MD,5783,5696,31,M
VA,5800,5599,31,M
NY,5807,5579,31,M
MD,5859,5650,31,M
VA,5867,5603,31,M
VA,5870,5570,31,M
VA,5890,5600,31,M
MD,5897,5754,31,M
VA,5899,5739,31,M
VA,5905,5650,31,M
VA,5958,5842,31,M
MD,5976,5568,31,M
DC,6006,5570,31,M
DC,6141,6141,31,M
VA,6157,5779,31,M
DC,6160,6010,31,M
VA,6179,5844,31,M
VA,6182,5824,31,M
VA,6202,5978,31,M
DC,6307,5858,31,M
MD,6308,6046,31,M
PA,6337,5945,31,M
DC,6340,5853,31,M
MD,6349,6349,31,M
DC,6398,6116,31,M
MD,6412,6245,31,M
VA,6417,6164,31,M
DC,6434,6200,31,M
VA,6485,6365,31,M
VA,6571,6370,31,M
VA,6613,6509,31,M
VA,6626,6221,31,M
MD,6643,6196,31,M
MD,6704,6221,31,M
VA,6705,6463,31,M
VA,6806,6482,31,M
VT,6827,6509,31,M
VA,6874,6488,31,M
TX,6962,6676,31,M
VA,7161,6799,31,M
MD,7230,6845,31,M
DC,7231,6773,31,M
MD,7340,6934,31,M
DC,7378,7353,31,M
MD,7393,7393,31,M
MD,7402,7219,31,M
VA,7439,7348,31,M
VA,7567,7202,31,M
Russia,3038,3037,32,M
MD,3249,3247,32,M
VA,3469,3459,32,M
DC,3573,3569,32,M
MD,3592,3588,32,M
VA,3598,3595,32,M
DC,3626,3622,32,M
PA,3662,3447,32,M
DC,3699,3688,32,M
VA,3778,3769,32,M
VA,3821,3815,32,M
MD,3858,3844,32,M
VA,3862,3852,32,M
DC,3874,3840,32,M
MD,3917,3905,32,M
VA,3975,3949,32,M
DC,4015,4015,32,M
VA,4126,4077,32,M
MD,4156,4138,32,M
VA,4211,4168,32,M
VA,4250,4210,32,M
DC,4284,4261,32,M
DC,4303,4250,32,M
VA,4386,4374,32,M
DC,4393,4358,32,M
DC,4399,4271,32,M
VA,4494,4441,32,M
MI,4504,4389,32,M
VA,4507,4468,32,M
MD,4509,4235,32,M
DC,4530,4472,32,M
DC,4554,4490,32,M
VA,4597,4597,32,M
VA,4632,4632,32,M
VA,4667,4581,32,M
VA,4673,4624,32,M
MD,4699,4666,32,M
VA,4720,4551,32,M
DC,4746,4683,32,M
VA,4785,4695,32,M
VA,4824,4546,32,M
VA,4827,4758,32,M
MD,4863,4621,32,M
DC,4897,4571,32,M
VA,4931,4445,32,M
VT,4968,4649,32,M
CA,4973,4604,32,M
DC,5019,4883,32,M
DC,5031,4927,32,M
MN,5038,4809,32,M
VA,5083,4701,32,M
VA,5102,5001,32,M
DC,5116,5116,32,M
VA,5132,4722,32,M
DC,5183,5008,32,M
MD,5203,5098,32,M
MD,5203,5098,32,M
VA,5213,5047,32,M
MD,5215,4917,32,M
MD,5237,4852,32,M
MD,5263,5040,32,M
MD,5274,4884,32,M
VA,5298,5214,32,M
MD,5311,5150,32,M
NC,5350,5275,32,M
MD,5367,5129,32,M
VA,5377,5282,32,M
DC,5384,5200,32,M
VA,5392,4997,32,M
VA,5395,5012,32,M
MD,5411,5112,32,M
MD,5433,5179,32,M
MD,5434,5434,32,M
VA,5462,5080,32,M
VA,5464,5464,32,M
VA,5471,4973,32,M
VA,5475,5320,32,M
MD,5488,5255,32,M
DC,5508,5150,32,M
VA,5526,5361,32,M
VA,5532,5183,32,M
MD,5534,5375,32,M
VA,5585,5309,32,M
VA,5585,5539,32,M
VA,5586,5385,32,M
MD,5612,5302,32,M
VA,5643,5160,32,M
NY,5647,5384,32,M
VA,5648,5216,32,M
VA,5692,5520,32,M
VA,5712,5355,32,M
VA,5773,5571,32,M
VA,5797,5332,32,M
VA,5807,5411,32,M
VA,5823,5611,32,M
MD,5840,5460,32,M
VA,5859,5631,32,M
VA,5879,5879,32,M
VA,5896,5563,32,M
DC,5941,5454,32,M
VA,5944,5622,32,M
VA,5954,5954,32,M
MD,5990,5869,32,M
VA,6016,5877,32,M
VA,6026,5708,32,M
DC,6052,5745,32,M
VA,6068,5663,32,M
VA,6095,5980,32,M
MD,6109,5875,32,M
MD,6116,5952,32,M
VA,6196,5751,32,M
VA,6215,6130,32,M
VA,6238,5800,32,M
VA,6253,6111,32,M
VA,6264,5788,32,M
MD,6288,6096,32,M
MD,6309,5865,32,M
AL,6339,6089,32,M
MD,6382,6087,32,M
VA,6452,5934,32,M
DC,6454,6125,32,M
VA,6476,6067,32,M
VA,6507,6237,32,M
VA,6507,6336,32,M
MD,6533,6214,32,M
DC,6581,6581,32,M
DC,6588,6161,32,M
VA,6611,6094,32,M
VA,6681,6525,32,M
VA,6744,6535,32,M
VA,6747,6573,32,M
VA,6766,6437,32,M
DC,6879,6545,32,M
MD,6914,6405,32,M
PA,6968,6737,32,M
MD,6972,6699,32,M
DC,6986,6986,32,M
NH,6994,6994,32,M
VA,7047,6542,32,M
DC,7058,6620,32,M
DC,7070,6530,32,M
VA,7088,6973,32,M
FL,7204,7057,32,M
IL,7803,7721,32,M
VA,8064,7635,32,M
VA,8556,7876,32,M
MD,3255,3253,33,M
DC,3465,3462,33,M
MD,3564,3560,33,M
VA,3566,3555,33,M
VA,3595,3590,33,M
VA,3787,3782,33,M
PA,3969,3969,33,M
VA,4028,4013,33,M
MD,4057,4018,33,M
DC,4058,4030,33,M
VA,4063,4063,33,M
DE,4099,4092,33,M
VA,4107,4046,33,M
DC,4143,4113,33,M
VA,4147,4114,33,M
MD,4147,4134,33,M
VA,4219,4219,33,M
VA,4219,4071,33,M
VA,4225,4225,33,M
VA,4304,4278,33,M
VA,4323,4276,33,M
VA,4338,4284,33,M
VA,4365,4335,33,M
VA,4375,4369,33,M
VA,4378,4378,33,M
MO,4398,4188,33,M
DC,4420,4363,33,M
PA,4458,4431,33,M
VA,4541,4492,33,M
VA,4612,4585,33,M
VA,4618,4592,33,M
MD,4634,4634,33,M
MD,4656,4617,33,M
NY,4660,4584,33,M
MD,4661,4630,33,M
VA,4674,4486,33,M
MD,4678,4397,33,M
VA,4719,4719,33,M
VA,4787,4741,33,M
VA,4791,4732,33,M
VA,4852,4789,33,M
VA,4856,4809,33,M
VA,4878,4825,33,M
DC,4894,4763,33,M
VA,4908,4741,33,M
VA,4910,4797,33,M
DC,4925,4895,33,M
VA,4959,4702,33,M
VA,5000,4740,33,M
VA,5038,4987,33,M
VA,5040,4884,33,M
VA,5042,4892,33,M
VA,5049,4889,33,M
DC,5054,4763,33,M
VA,5070,4864,33,M
VA,5073,4766,33,M
MD,5091,4763,33,M
DC,5130,4853,33,M
DC,5140,4917,33,M
LA,5145,4754,33,M
VA,5231,4996,33,M
MD,5250,5090,33,M
DC,5256,4769,33,M
DC,5263,5046,33,M
MD,5292,5169,33,M
VA,5302,5276,33,M
VA,5360,5079,33,M
VA,5367,5315,33,M
DC,5386,4947,33,M
DC,5388,4944,33,M
MD,5407,5151,33,M
VA,5411,5313,33,M
DC,5440,5273,33,M
VA,5470,5257,33,M
MD,5506,5506,33,M
VA,5508,5275,33,M
VA,5511,5351,33,M
VA,5516,5276,33,M
DC,5517,5362,33,M
DC,5575,5427,33,M
MD,5590,5536,33,M
VA,5598,5356,33,M
NY,5619,5389,33,M
VA,5626,5187,33,M
DC,5634,5418,33,M
VA,5635,5278,33,M
VA,5645,5340,33,M
DC,5660,5660,33,M
MI,5666,5417,33,M
MD,5696,5696,33,M
VA,5711,5321,33,M
DC,5792,5303,33,M
DC,5821,5821,33,M
VA,5822,5822,33,M
MD,5828,5641,33,M
MD,5840,5804,33,M
MD,5915,5459,33,M
PA,5943,5842,33,M
VA,5956,5528,33,M
MD,5965,5816,33,M
VA,5975,5753,33,M
MD,5977,5679,33,M
VA,5978,5769,33,M
VA,5988,5649,33,M
,6005,5869,33,M
DC,6008,5949,33,M
DC,6012,5804,33,M
DC,6019,5757,33,M
DC,6040,5875,33,M
DC,6052,5575,33,M
VA,6054,5723,33,M
VA,6084,6084,33,M
VA,6087,6044,33,M
VA,6099,5947,33,M
PA,6104,5923,33,M
NJ,6116,5848,33,M
DC,6126,6017,33,M
DC,6144,5950,33,M
VA,6145,5706,33,M
VA,6154,5971,33,M
KS,6154,5866,33,M
VA,6179,6179,33,M
VA,6218,5885,33,M
VA,6306,6195,33,M
MD,6349,5944,33,M
MD,6379,6037,33,M
DC,6413,5905,33,M
VA,6439,5989,33,M
VA,6493,6033,33,M
DC,6547,6169,33,M
MD,6552,6082,33,M
MN,6759,6631,33,M
DC,6794,6518,33,M
MD,6845,6547,33,M
VA,6891,6526,33,M
VA,6948,6766,33,M
VI,7103,6939,33,M
NY,7236,7016,33,M
VA,7396,7101,33,M
DC,7671,7671,33,M
VA,7684,7319,33,M
MD,7812,7555,33,M
DC,3357,3352,34,M
MD,3705,3695,34,M
DC,3758,3758,34,M
MD,3774,3763,34,M
VA,3792,3780,34,M
DC,3792,3775,34,M
DC,3815,3804,34,M
IL,3822,3813,34,M
VA,3859,3859,34,M
MD,3917,3867,34,M
VA,3933,3908,34,M
VA,3971,3919,34,M
NY,4056,4051,34,M
FL,4077,4061,34,M
MD,4110,4093,34,M
VA,4150,4109,34,M
PA,4157,4074,34,M
DC,4172,4119,34,M
VA,4226,4167,34,M
DC,4241,4218,34,M
VA,4264,4218,34,M
MD,4269,4221,34,M
MD,4271,4138,34,M
NC,4274,4257,34,M
DC,4332,4264,34,M
VA,4339,4318,34,M
VA,4398,4398,34,M
TX,4409,4409,34,M
DC,4424,4323,34,M
MD,4435,4357,34,M
DC,4435,4369,34,M
VA,4440,4419,34,M
MD,4524,4430,34,M
MD,4603,4557,34,M
DC,4610,4568,34,M
VA,4631,4594,34,M
MD,4636,4599,34,M
MD,4650,4609,34,M
MD,4695,4695,34,M
MD,4702,4615,34,M
VA,4770,4658,34,M
NY,4774,4686,34,M
DC,4808,4705,34,M
VA,4829,4527,34,M
DC,4830,4593,34,M
VA,4835,4403,34,M
VA,4841,4828,34,M
VA,4850,4719,34,M
DC,4851,4798,34,M
DC,4885,4780,34,M
VA,4904,4857,34,M
MD,4910,4614,34,M
MD,4937,4900,34,M
DC,4960,4882,34,M
DC,4965,4756,34,M
VA,4980,4547,34,M
DC,4981,4642,34,M
DC,5001,4627,34,M
VA,5002,4718,34,M
PA,5022,5022,34,M
DC,5028,4790,34,M
MI,5034,4763,34,M
MD,5053,5053,34,M
NM,5056,4973,34,M
NY,5063,4952,34,M
MD,5083,4772,34,M
DC,5087,4954,34,M
MD,5134,5134,34,M
VA,5137,5054,34,M
MD,5148,4686,34,M
DC,5156,4726,34,M
VA,5176,4723,34,M
MD,5227,5150,34,M
DC,5234,5171,34,M
MD,5254,5151,34,M
MD,5264,5151,34,M
VA,5316,5046,34,M
DC,5331,5238,34,M
VA,5339,4927,34,M
DC,5342,5105,34,M
MD,5353,5276,34,M
VA,5371,5256,34,M
MI,5372,5119,34,M
MD,5401,4950,34,M
MD,5415,5075,34,M
MD,5431,5336,34,M
DC,5435,5163,34,M
KS,5449,5391,34,M
MD,5464,4996,34,M
MD,5516,5412,34,M
PA,5525,5443,34,M
NC,5526,5335,34,M
MD,5529,5275,34,M
NY,5540,5476,34,M
MD,5543,5443,34,M
VA,5565,5233,34,M
MD,5623,5362,34,M
MD,5676,5596,34,M
VA,5710,5710,34,M
VA,5724,5311,34,M
VA,5737,5737,34,M
VA,5741,5318,34,M
VA,5749,5662,34,M
VA,5780,5541,34,M
VA,5780,5593,34,M
VA,5801,5638,34,M
VA,5809,5406,34,M
NJ,5826,5826,34,M
MD,5858,5564,34,M
DC,5884,5503,34,M
OH,5901,5773,34,M
VA,5923,5511,34,M
VA,5925,5774,34,M
DC,5930,5930,34,M
VA,5953,5719,34,M
DC,5980,5728,34,M
VA,5980,5557,34,M
VA,6022,5760,34,M
DC,6029,5915,34,M
NJ,6031,5745,34,M
VA,6087,5655,34,M
VA,6090,5616,34,M
MD,6093,5898,34,M
MD,6121,5958,34,M
MD,6123,5834,34,M
VA,6217,5954,34,M
VA,6264,5839,34,M
VA,6283,5982,34,M
DC,6328,6103,34,M
DC,6331,6331,34,M
MD,6336,5864,34,M
MO,6400,6203,34,M
VA,6410,6410,34,M
DC,6428,6020,34,M
DC,6435,6221,34,M
MD,6450,6450,34,M
MD,6473,6343,34,M
NC,6491,6491,34,M
VA,6507,6238,34,M
VA,6516,6325,34,M
VA,6524,6030,34,M
VA,6584,6469,34,M
VA,6683,6501,34,M
MD,6739,6314,34,M
VA,6767,6439,34,M
VA,6808,6311,34,M
MD,6860,6443,34,M
MD,6866,6449,34,M
VA,6917,6562,34,M
MD,6917,6686,34,M
VA,6931,6511,34,M
DC,6993,6815,34,M
MD,7018,6835,34,M
VA,7053,7042,34,M
DC,7080,6673,34,M
VA,7371,6997,34,M
DC,7377,7033,34,M
VA,7611,7259,34,M
DC,7747,7399,34,M
NJ,7841,7477,34,M
VA,8514,8186,34,M
Kenya,2869,2867,35,M
Kenya,3091,3090,35,M
MD,3376,3376,35,M
MD,3412,3393,35,M
MD,3733,3722,35,M
NY,3752,3748,35,M
VA,3798,3784,35,M
MD,3834,3787,35,M
MD,3856,3849,35,M
DC,3968,3943,35,M
MD,3974,3948,35,M
MD,4075,4048,35,M
MD,4082,4060,35,M
NJ,4089,4055,35,M
MD,4248,4189,35,M
VA,4252,4235,35,M
VA,4252,4217,35,M
VA,4263,4238,35,M
DC,4281,4255,35,M
MD,4309,4262,35,M
NY,4361,4355,35,M
DC,4370,4324,35,M
PA,4374,4350,35,M
MD,4375,4375,35,M
MD,4382,4342,35,M
VA,4399,4333,35,M
VA,4445,4387,35,M
GA,4466,4414,35,M
MD,4482,4403,35,M
MD,4533,4533,35,M
VA,4541,4395,35,M
PA,4594,4511,35,M
MD,4614,4569,35,M
VA,4632,4611,35,M
VA,4655,4585,35,M
DC,4666,4630,35,M
VA,4681,4319,35,M
MD,4694,4643,35,M
MD,4711,4645,35,M
DC,4711,4683,35,M
MD,4749,4696,35,M
VA,4820,4712,35,M
VA,4856,4754,35,M
MD,4889,4534,35,M
VA,4893,4628,35,M
DC,4914,4875,35,M
VA,4930,4740,35,M
VA,4955,4614,35,M
VA,4958,4637,35,M
VA,4964,4922,35,M
DC,4965,4591,35,M
DC,4968,4877,35,M
DC,4970,4567,35,M
MD,4990,4572,35,M
VA,4994,4921,35,M
VA,5046,4751,35,M
DC,5073,4844,35,M
VA,5100,4945,35,M
VA,5118,5018,35,M
VA,5126,5126,35,M
VA,5128,4937,35,M
NJ,5134,5031,35,M
VA,5169,4766,35,M
VA,5177,4692,35,M
VA,5198,5075,35,M
VA,5215,5126,35,M
DC,5221,5092,35,M
VA,5224,5135,35,M
DC,5231,5063,35,M
VA,5305,5204,35,M
VA,5330,5157,35,M
VA,5336,5336,35,M
MD,5341,5019,35,M
VA,5345,5254,35,M
MD,5362,5089,35,M
MD,5376,5187,35,M
DC,5392,5392,35,M
VA,5405,5405,35,M
VA,5439,5218,35,M
NJ,5442,5318,35,M
MD,5453,5033,35,M
PA,5454,5248,35,M
MD,5455,5184,35,M
VA,5482,5390,35,M
VA,5503,5299,35,M
DC,5514,5373,35,M
DC,5514,5361,35,M
MD,5517,5084,35,M
MD,5538,5304,35,M
VA,5545,5347,35,M
MD,5551,5256,35,M
VA,5551,5390,35,M
VA,5570,5570,35,M
NY,5571,5377,35,M
VA,5577,5477,35,M
MD,5577,5260,35,M
VA,5578,5578,35,M
VA,5581,5237,35,M
MD,5619,5342,35,M
DC,5629,5629,35,M
DC,5634,5328,35,M
VA,5649,5417,35,M
VA,5672,5300,35,M
MD,5680,5220,35,M
MA,5705,5705,35,M
DC,5708,5667,35,M
VA,5728,5496,35,M
VA,5747,5513,35,M
VA,5773,5325,35,M
MD,5782,5782,35,M
DC,5796,5467,35,M
VA,5803,5608,35,M
VA,5808,5669,35,M
MD,5810,5305,35,M
MD,5814,5569,35,M
VA,5816,5683,35,M
MD,5817,5564,35,M
VA,5821,5414,35,M
DC,5841,5548,35,M
NY,5861,5654,35,M
VA,5865,5495,35,M
CA,5886,5736,35,M
VA,5892,5502,35,M
VA,5946,5600,35,M
PA,5962,5825,35,M
VA,5964,5466,35,M
VA,5968,5665,35,M
VA,6031,5540,35,M
NY,6046,5691,35,M
VA,6047,5775,35,M
DC,6070,5669,35,M
VA,6076,5939,35,M
VA,6109,5905,35,M
VA,6167,5820,35,M
VA,6233,6233,35,M
VA,6238,5915,35,M
VA,6257,6029,35,M
NY,6280,5989,35,M
CA,6288,5974,35,M
MD,6288,6288,35,M
OR,6296,5919,35,M
DC,6354,6066,35,M
DC,6356,6026,35,M
VA,6387,6143,35,M
DC,6442,6002,35,M
MD,6478,6203,35,M
DC,6524,6048,35,M
MD,6556,6390,35,M
VA,6562,6562,35,M
MD,6602,6602,35,M
VA,6625,6377,35,M
VA,6651,6199,35,M
CA,6693,6222,35,M
MD,6699,6411,35,M
MD,6703,6221,35,M
DC,6723,6611,35,M
MD,6738,6301,35,M
VA,6741,6370,35,M
DC,6752,6221,35,M
VA,6775,6349,35,M
VA,6823,6559,35,M
DC,6836,6432,35,M
MD,6858,6438,35,M
VA,6901,6533,35,M
NC,6926,6545,35,M
MD,6936,6443,35,M
MD,6982,6607,35,M
VA,6989,6833,35,M
VA,7021,6591,35,M
VA,7052,6945,35,M
VA,7122,6802,35,M
VA,7676,7640,35,M
TN,3242,3242,36,M
VA,3266,3263,36,M
DC,3550,3547,36,M
VA,3597,3593,36,M
VA,3618,3613,36,M
MD,3625,3618,36,M
MD,3670,3658,36,M
MD,3752,3738,36,M
IL,3765,3745,36,M
MD,3781,3774,36,M
MD,3901,3890,36,M
MD,3904,3893,36,M
MD,3919,3904,36,M
MD,3972,3939,36,M
MD,3978,3969,36,M
VA,4025,4000,36,M
MD,4046,4031,36,M
VA,4049,4013,36,M
VA,4068,4065,36,M
MD,4092,4067,36,M
VA,4104,4073,36,M
VA,4128,4089,36,M
MD,4139,4108,36,M
DC,4207,4176,36,M
VA,4239,4216,36,M
VA,4301,4265,36,M
VA,4322,4299,36,M
DC,4341,4298,36,M
VA,4352,4334,36,M
MD,4356,4310,36,M
PA,4368,4345,36,M
VA,4390,4364,36,M
DC,4473,4444,36,M
VA,4498,4215,36,M
VA,4515,4485,36,M
MD,4574,4515,36,M
MD,4582,4519,36,M
MD,4591,4491,36,M
DC,4598,4598,36,M
DC,4603,4577,36,M
MD,4646,4628,36,M
DC,4749,4739,36,M
VA,4760,4671,36,M
DC,4798,4622,36,M
MD,4804,4757,36,M
MD,4813,4460,36,M
VA,4872,4816,36,M
VA,4877,4723,36,M
VA,4925,4876,36,M
VA,4960,4802,36,M
VA,4967,4927,36,M
VA,5012,5012,36,M
DC,5030,4799,36,M
MD,5034,5034,36,M
VA,5045,5004,36,M
NY,5048,4930,36,M
VA,5054,4687,36,M
VA,5064,4873,36,M
NY,5071,4930,36,M
MD,5121,4768,36,M
VA,5121,5069,36,M
VA,5141,5047,36,M
MD,5166,5101,36,M
MD,5172,4883,36,M
MD,5195,4868,36,M
MD,5215,4896,36,M
MD,5236,5236,36,M
MD,5243,5078,36,M
VA,5281,4945,36,M
MD,5282,4903,36,M
DC,5311,5115,36,M
MD,5351,5152,36,M
MD,5381,5023,36,M
VA,5458,5370,36,M
MD,5467,5279,36,M
VA,5480,5262,36,M
MD,5495,5040,36,M
MD,5512,5357,36,M
DC,5515,5324,36,M
NJ,5545,5145,36,M
VA,5589,5436,36,M
MD,5601,5420,36,M
DC,5615,5195,36,M
DC,5641,5549,36,M
MD,5645,5561,36,M
MD,5677,5451,36,M
VA,5722,5637,36,M
VA,5803,5541,36,M
VA,5804,5617,36,M
VA,5813,5614,36,M
VA,5821,5491,36,M
DC,5830,5514,36,M
PA,5839,5642,36,M
DC,5848,5555,36,M
VA,5884,5692,36,M
VA,5902,5633,36,M
DC,5909,5802,36,M
VA,5915,5608,36,M
VA,5916,5599,36,M
VA,5922,5537,36,M
VA,5928,5518,36,M
CA,5933,5440,36,M
VA,5942,5552,36,M
DC,5969,5456,36,M
VA,5982,5518,36,M
VA,6065,6065,36,M
NY,6070,5645,36,M
DC,6075,5561,36,M
VA,6102,6102,36,M
VA,6122,6001,36,M
VA,6128,5690,36,M
VA,6156,5866,36,M
MD,6161,6055,36,M
VA,6187,5785,36,M
VA,6247,5854,36,M
VA,6255,6048,36,M
MD,6383,6054,36,M
VA,6387,6052,36,M
VA,6395,6268,36,M
DC,6414,6211,36,M
VA,6447,6153,36,M
VA,6602,6194,36,M
MD,6864,6550,36,M
MD,6916,6560,36,M
VA,6989,6989,36,M
VA,7023,6636,36,M
MD,7310,6811,36,M
VA,7381,7093,36,M
VA,7870,7696,36,M
DC,8820,8510,36,M
VA,3344,3340,37,M
VA,3668,3657,37,M
MD,3755,3752,37,M
VA,3791,3791,37,M
DC,3817,3811,37,M
VA,3837,3825,37,M
VA,3915,3863,37,M
VA,3923,3907,37,M
VA,4056,4039,37,M
DC,4062,4054,37,M
VA,4064,4044,37,M
VA,4066,4056,37,M
VA,4104,4104,37,M
MD,4184,4184,37,M
VA,4219,4179,37,M
MD,4242,4227,37,M
MD,4294,4273,37,M
VA,4310,4270,37,M
VA,4375,4315,37,M
DC,4397,4352,37,M
VA,4430,4392,37,M
MD,4509,4482,37,M
VA,4518,4518,37,M
VA,4565,4489,37,M
VA,4609,4570,37,M
DC,4638,4593,37,M
VA,4649,4600,37,M
MD,4688,4373,37,M
DC,4691,4691,37,M
VA,4716,4645,37,M
MD,4719,4664,37,M
MD,4744,4744,37,M
VA,4744,4681,37,M
VA,4782,4509,37,M
MD,4797,4756,37,M
MD,4806,4806,37,M
VA,4848,4632,37,M
VA,4848,4806,37,M
VA,4849,4810,37,M
DC,4854,4793,37,M
VA,4865,4573,37,M
MD,4902,4902,37,M
VA,4920,4876,37,M
VA,4949,4826,37,M
MD,4969,4655,37,M
MD,4970,4948,37,M
MD,4997,4934,37,M
MD,5004,4913,37,M
DC,5009,4968,37,M
VA,5012,4675,37,M
MD,5022,4992,37,M
VA,5046,4961,37,M
TX,5080,4993,37,M
VA,5103,4857,37,M
VA,5103,5044,37,M
VA,5120,4950,37,M
VA,5121,4956,37,M
VA,5140,5078,37,M
VA,5150,5069,37,M
VA,5185,4752,37,M
MD,5216,5021,37,M
VA,5230,5186,37,M
VA,5251,5150,37,M
VA,5257,5064,37,M
MD,5266,5142,37,M
MD,5274,4838,37,M
MD,5301,5289,37,M
VA,5309,5138,37,M
MD,5319,4977,37,M
MD,5321,5055,37,M
MI,5363,4952,37,M
VA,5382,4898,37,M
DC,5388,5287,37,M
VA,5402,5402,37,M
VA,5421,4984,37,M
VA,5421,4914,37,M
VA,5424,5369,37,M
MD,5446,4985,37,M
DC,5454,4727,37,M
VA,5459,5125,37,M
VA,5461,4993,37,M
VA,5521,5481,37,M
VA,5536,5318,37,M
VA,5536,5316,37,M
MD,5537,5143,37,M
MD,5540,5155,37,M
DC,5570,5151,37,M
VA,5573,5452,37,M
MD,5600,5332,37,M
VA,5603,5214,37,M
MD,5641,5262,37,M
MD,5647,5377,37,M
MD,5650,5540,37,M
VA,5651,5175,37,M
VA,5683,5451,37,M
VA,5688,5346,37,M
VA,5696,5425,37,M
MD,5732,5732,37,M
DC,5757,5479,37,M
VA,5758,5368,37,M
VA,5782,5782,37,M
DC,5825,5825,37,M
VA,5863,5558,37,M
MD,5875,5435,37,M
MD,5879,5445,37,M
DC,5896,5546,37,M
DC,5966,5660,37,M
DC,5976,5474,37,M
VA,6036,5735,37,M
MD,6040,5845,37,M
VA,6051,5892,37,M
MD,6070,5680,37,M
MD,6074,5872,37,M
PA,6094,5917,37,M
DC,6126,6017,37,M
VA,6129,5933,37,M
VA,6159,5770,37,M
MD,6181,5864,37,M
VA,6185,6172,37,M
MD,6246,5893,37,M
DC,6302,5921,37,M
VA,6313,5852,37,M
MD,6328,5922,37,M
VA,6339,5889,37,M
VA,6366,6020,37,M
WI,6394,5943,37,M
MD,6442,5942,37,M
VA,6493,6036,37,M
DC,6502,6096,37,M
NJ,6573,6346,37,M
VA,6662,6662,37,M
VA,6682,6281,37,M
VA,6692,6331,37,M
DC,6705,6370,37,M
VA,6706,6362,37,M
VA,6939,6448,37,M
DE,6946,6664,37,M
DC,7052,6556,37,M
VA,7055,7055,37,M
VA,7086,6943,37,M
DC,7104,6642,37,M
VA,7105,7105,37,M
MD,7167,6739,37,M
MD,8389,7968,37,M
VA,9147,9138,37,M
VT,3523,3519,38,M
WV,3586,3584,38,M
VA,3634,3627,38,M
VA,3696,3694,38,M
MD,3766,3758,38,M
DC,3916,3906,38,M
VA,4025,4022,38,M
VA,4103,4103,38,M
MD,4114,4114,38,M
VA,4126,4110,38,M
NC,4152,4152,38,M
VA,4163,4141,38,M
WV,4209,4182,38,M
VA,4236,4220,38,M
MD,4365,4309,38,M
VA,4404,4344,38,M
MD,4414,4386,38,M
MD,4448,4431,38,M
MD,4533,4274,38,M
MD,4544,4437,38,M
DC,4565,4497,38,M
MD,4572,4403,38,M
VA,4593,4567,38,M
VA,4594,4529,38,M
VA,4615,4564,38,M
VA,4615,4510,38,M
KY,4681,4634,38,M
MD,4714,4714,38,M
VA,4717,4578,38,M
MD,4723,4366,38,M
VA,4732,4681,38,M
MD,4742,4567,38,M
VA,4763,4733,38,M
NY,4775,4420,38,M
MD,4794,4732,38,M
VA,4826,4770,38,M
DC,4858,4843,38,M
VA,4870,4786,38,M
VA,4929,4766,38,M
DC,4966,4797,38,M
VA,4980,4914,38,M
MD,5052,5006,38,M
PA,5072,4895,38,M
VA,5094,5094,38,M
DC,5099,5099,38,M
VA,5112,4662,38,M
VA,5135,4787,38,M
VA,5193,4918,38,M
MD,5206,5206,38,M
VA,5218,5029,38,M
VA,5239,4833,38,M
MD,5247,5177,38,M
VA,5262,4982,38,M
VA,5277,4821,38,M
MD,5287,5066,38,M
MD,5314,4885,38,M
MD,5315,4832,38,M
VA,5333,5264,38,M
VA,5341,5271,38,M
DC,5353,5305,38,M
VA,5383,5255,38,M
VA,5388,5304,38,M
MD,5472,5073,38,M
VA,5485,5207,38,M
VA,5521,5190,38,M
GA,5532,5403,38,M
VA,5534,5534,38,M
VA,5557,5203,38,M
NY,5559,5354,38,M
VA,5560,5485,38,M
VA,5565,5274,38,M
MD,5568,5145,38,M
VA,5575,5179,38,M
VA,5623,5623,38,M
DC,5645,5339,38,M
DC,5648,5294,38,M
VA,5654,5515,38,M
DC,5662,5423,38,M
VA,5664,5156,38,M
CT,5670,5458,38,M
VA,5690,5605,38,M
VA,5748,5452,38,M
VA,5751,5464,38,M
DC,5768,5302,38,M
MD,5798,5691,38,M
DC,5830,5729,38,M
VA,5847,5847,38,M
VA,5869,5392,38,M
MD,5872,5579,38,M
VA,5878,5644,38,M
VA,5887,5603,38,M
CT,5897,5897,38,M
VA,5897,5755,38,M
VA,5901,5669,38,M
MD,5911,5857,38,M
DC,5915,5915,38,M
TX,5917,5552,38,M
MD,5942,5549,38,M
DC,5946,5754,38,M
NJ,6017,5658,38,M
MD,6041,5841,38,M
VA,6044,5882,38,M
VA,6046,5958,38,M
