LAND,SPECIES,SITE,STAGE,HABSPEC,SITESPEC,REP,SAMPPER,PLNO,JULDAY,PERNODN,RF,SNF,SLA,PERLEAFN,DEL,ONECM,FIVECM,PERH2O,DELNOD,NPERAREA,NDiff,delDiff,logSNF
FP,AT,4C,Late,FPATLate,4CAT,3,late,132,234,2.197,G1,10.50481008,4.987493596,2.397,-0.4833,9.5,8,16.0893543,5.169722652,11.95502215,0.2,-5.653022652,2.351833255
FP,AT,4C,Late,FPATLate,4CAT,3,late,135,234,1.909,G7,9.548821552,5.032697466,2.587,-1.0324,9.8,6.8,45.86926073,0.100597033,13.01958834,0.678,-1.132997033,2.256417749
FP,AT,4C,Late,FPATLate,4CAT,3,middle,88,208,2.09,G4,134.2159809,5.981978724,2.651,-0.9898,10.5,7.9,34.05078839,-0.47480533,15.8582256,0.561,-0.51499467,4.8994503
FP,AT,4C,Late,FPATLate,4CAT,3,late,137,234,1.778,G1,2.943508512,4.429979206,2.663,-0.7759,9.7,6.8,47.3416486,4.512095728,11.79703463,0.885,-5.287995728,1.079602241
FP,AT,4C,Late,FPATLate,4CAT,3,late,139,234,2.06,G1,3.710607255,4.429979206,2.738,-1.6987,9.5,7.1,33.9686808,-1.351604265,12.12928307,0.678,-0.347095735,1.311195544
FP,AT,4C,Late,FPATLate,4CAT,3,middle,89,208,1.844,G1,14.69228786,6.34360968,2.766,-0.02,11.2,9.4,36.02332814,0.922604615,17.54642437,0.922,-0.942604615,2.687322721
FP,AT,4C,Late,FPATLate,4CAT,3,middle,81,208,NA,G1,NA,5.077901335,2.811,-0.1974,13,10.5,14.11217369,0.164170922,14.27398065,NA,-0.361570922,NA
FP,AT,4C,Late,FPATLate,4CAT,3,late,138,234,1.447,G1,3.143905554,4.354639424,2.903,-1.1198,8.8,7.8,33.74993109,0.867803955,12.64151825,1.456,-1.987603955,1.145465834
FP,AT,4C,Late,FPATLate,4CAT,3,late,140,234,2.072,G1,6.545259046,4.234095772,2.91,-0.7085,10.3,7.5,37.37317467,-0.146004277,12.3212187,0.838,-0.562495723,1.878740978
UP,AC,UP1A,Early,UPACEarly,UP1AAC,1,early,19,172,2.81,G9,57.51962281,7.552813187,1.798,-1.309,8.1,3.8,29.14920077,-0.310404902,13.57995811,-1.012,-0.998595098,4.052126156
UP,AC,UP1A,Early,UPACEarly,UP1AAC,1,early,18,172,1.9,G9,27.53725312,7.303438508,2.082,-1.2952,7.4,4.5,33.4667053,-1.269404605,15.20575897,0.182,-0.025795395,3.315539747
UP,AC,UP1A,Early,UPACEarly,UP1AAC,1,early,16,172,2.037,G9,35.76153726,7.360696742,2.216,-1.304,9.1,5.5,32.06910703,0.347198788,16.31130398,0.179,-1.651198788,3.576872938
UP,AC,UP1A,Early,UPACEarly,UP1AAC,1,late,226,236,1.794,G8,0.621180577,7.729861676,2.291,-1.2731,9.4,7.2,33.72473786,0.813003318,17.7091131,0.497,-2.086103318,-0.476133455
UP,AC,UP1A,Early,UPACEarly,UP1AAC,1,late,230,236,2.413,G8,3.61252581,6.614832896,2.301,-1.1824,11.5,9.4,28.96076494,1.087006725,15.22073049,-0.112,-2.269406725,1.284407198
UP,AC,UP1A,Early,UPACEarly,UP1AAC,1,middle,153,219,2.084,G9,5.858226129,6.315985093,2.314,1.4804,10.8,10.2,16.46339455,-0.009003604,14.61518951,0.23,1.489403604,1.767846849
UP,AC,UP1A,Early,UPACEarly,UP1AAC,1,late,229,236,1.848,G8,3.042863474,7.458638459,2.326,-1.2883,11.7,9.2,35.59906542,0.53900046,17.34879306,0.478,-1.82730046,1.112799004
UP,AC,UP1A,Early,UPACEarly,UP1AAC,1,late,224,236,3.389,G8,0.692255219,7.187415243,2.459,-1.6637,10.3,8,34.85071089,0.703402109,17.67385408,-0.93,-2.367102109,-0.367800578
UP,AC,UP1A,Early,UPACEarly,UP1AAC,1,early,17,172,2.015,G9,55.52159746,7.498191845,2.541,-1.1771,6.4,4.1,28.39054128,-1.077605203,19.05290548,0.526,-0.099494797,4.016772088
UP,AC,UP1A,Early,UPACEarly,UP1AAC,1,late,227,236,1.976,G8,12.15295045,7.624385981,2.56,-1.2022,10.5,8.2,31.0354194,-1.790001621,19.51842811,0.584,0.587801621,2.497571976
UP,AC,UP1A,Early,UPACEarly,UP1AAC,1,middle,152,219,2.31,G8,10.20852479,5.334056595,2.724,-0.1766,10.4,9.8,14.80670725,2.018622425,14.52997016,0.414,-2.195222425,2.323223135
UP,AC,UP1A,Early,UPACEarly,UP1AAC,1,middle,155,219,2.003,G9,11.45816549,7.368230721,2.888,-0.7508,12.2,9.2,25.3434378,NA,21.27945032,0.885,NA,2.438702619
UP,AC,UP1B,Early,UPACEarly,UP1BAC,2,late,1,243,1.301,G8,NA,7.790133502,1.818,-1.7056,11.2,9.3,29.4689268,2.073423547,14.16246271,0.517,-3.779023547,NA
UP,AC,UP1B,Early,UPACEarly,UP1BAC,2,middle,104,205,1.474,G8,44.14965928,7.624385981,1.897,-1.6191,12.7,9.1,23.21616652,3.799670137,14.46346021,0.423,-5.418770137,3.78758521
UP,AC,UP1B,Early,UPACEarly,UP1BAC,2,early,55,176,2.03,G9,31.81777398,8.309978001,1.907,-1.1569,10.5,6.8,25.67248846,1.224008636,15.84712805,-0.123,-2.380908636,3.460025064
UP,AC,UP1B,Early,UPACEarly,UP1BAC,2,middle,107,205,2.571,G9,62.78274523,7.549046198,2.251,-1.6617,13.2,10.4,19.02609702,1.114407096,16.99290299,-0.32,-2.776107096,4.139680278
UP,AC,UP1B,Early,UPACEarly,UP1BAC,2,middle,105,205,1.948,G9,66.00883163,7.744929633,2.268,-1.5829,15,10.8,21.27439646,NA,17.56550041,0.32,NA,4.189788546
UP,AC,UP1B,Early,UPACEarly,UP1BAC,2,middle,101,205,2.326,G9,59.38065809,7.955881023,2.478,-1.2619,13.8,10.5,21.1773544,NA,19.71467317,0.152,NA,4.083968552
UP,AC,UP1B,Early,UPACEarly,UP1BAC,2,middle,108,205,2.218,G9,126.7771906,7.594250068,2.573,-1.3183,15.2,9.8,23.00879436,2.046022983,19.54000542,0.355,-3.364322983,4.842431141
UP,AC,UP1B,Early,UPACEarly,UP1BAC,2,early,54,176,2.75,G9,55.74332533,9.384323298,2.588,-0.7248,14.5,10.2,26.37256665,6.183570365,24.2866287,-0.162,-6.908370365,4.020757678
UP,AC,UP1B,Early,UPACEarly,UP1BAC,2,middle,103,205,2.022,G8,46.97565931,6.509357201,2.855,-1.7362,15.8,11.5,18.50194197,1.854219193,18.58421481,0.833,-3.590419193,3.849629581
UP,AC,UP1B,Early,UPACEarly,UP1BAC,2,late,NA,243,2.147,G8,7.283829363,6.886056113,2.992,-1.1097,12.4,10.7,35.20877651,2.073423547,20.60307989,0.845,-3.183123547,1.985656735
UP,AC,UP1C,Early,UPACEarly,UP1CAC,3,early,62,178,2.054,G4,39.13681411,7.210017177,1.78,-0.9961,11.4,8.4,25.65733863,-0.47480533,12.83383058,-0.274,-0.52129467,3.667063561
UP,AC,UP1C,Early,UPACEarly,UP1CAC,3,middle,133,209,1.587,G4,113.2497952,8.001084893,2.506,-0.9808,11.7,10.8,22.19480356,-0.091204024,20.05071874,0.919,-0.889595976,4.729595956
UP,AC,UP1C,Early,UPACEarly,UP1CAC,3,middle,131,209,2.311,G4,84.73485561,8.52846337,2.758,-0.9546,13.7,12,23.57802686,NA,23.52150197,0.447,NA,4.439527035
UP,AC,UP1C,Early,UPACEarly,UP1CAC,3,middle,136,209,2.254,G8,134.7636572,7.036735678,3.244,-1.0705,13.5,11.8,20.85920813,-1.461203736,22.82717054,0.99,0.390703736,4.903522557
UP,AC,UP3A,Late,UPACLate,UP3AAC,1,middle,163,220,2.597,G9,10.28586973,3.525901817,2.299,-0.8976,9.6,8.5,25.9647185,1.936420784,8.106048277,-0.298,-2.834020784,2.330771082
UP,AC,UP3A,Late,UPACLate,UP3AAC,1,late,233,238,2.073,G9,7.896128251,3.571105687,2.383,-1.3764,11.8,8.1,26.03999302,1.498012868,8.509944852,0.31,-2.874412868,2.066372545
UP,AC,UP3A,Late,UPACLate,UP3AAC,1,late,236,238,2.057,G8,11.34007119,5.695687551,2.471,-1.4469,12.2,7.5,32.35641408,2.320028866,14.07404394,0.414,-3.766928866,2.428342576
UP,AC,UP3A,Late,UPACLate,UP3AAC,1,late,234,238,2.089,G9,4.392452819,3.375222252,2.49,-1.2695,12.5,7.8,27.39060299,-0.995405377,8.404303407,0.401,-0.274094623,1.4798878
UP,AC,UP3A,Late,UPACLate,UP3AAC,1,late,237,238,1.974,G8,4.284007086,3.420426122,2.529,-1.3459,10.5,7.4,36.06900807,-0.173404395,8.650257663,0.555,-1.172495605,1.454888807
UP,AC,UP3A,Late,UPACLate,UP3AAC,1,middle,169,220,2.561,G8,8.860487461,4.610794684,2.543,-1.1094,11.5,8.7,27.84100809,0.758202702,11.72525088,-0.018,-1.867602702,2.181601781
UP,AC,UP3A,Late,UPACLate,UP3AAC,1,late,238,238,2.49,G8,10.45510571,3.103999036,2.576,-1.4212,14.1,7.4,28.42835077,2.046022983,7.995901517,0.086,-3.467222983,2.347090444
UP,AC,UP3A,Late,UPACLate,UP3AAC,1,middle,162,220,2.122,G8,11.86476369,3.661513426,2.595,-0.3484,7.4,5.3,28.54691448,-0.694005592,9.50162734,0.473,0.345605592,2.473572973
UP,AC,UP3A,Late,UPACLate,UP3AAC,1,early,23,172,2.726,G8,171.2366594,4.118072507,2.627,-1.1172,9.4,6.4,25.4893276,-0.776205599,10.81817648,-0.099,-0.340994401,5.143046573
UP,AC,UP3A,Late,UPACLate,UP3AAC,1,middle,168,220,2.727,G9,7.579990201,4.324503511,2.801,-1.0903,10.7,7.5,24.41463194,2.15562527,12.11293433,0.074,-3.24592527,2.025511907
UP,AC,UP3A,Late,UPACLate,UP3AAC,1,early,22,172,2.566,G8,29.28682695,3.381249435,2.923,-1.5573,4.8,2.7,26.84060514,-0.940605466,9.883392099,0.357,-0.616694534,3.377137823
UP,AC,UP3B,Late,UPACLate,UP3BAC,2,late,10,244,1.535,G9,NA,5.028930476,NA,NA,11.3,8.9,22.51212651,2.073423547,NA,NA,NA,NA
UP,AC,UP3B,Late,UPACLate,UP3BAC,2,late,7,244,2.475,G8,NA,4.294367598,2.241,-1.3094,9.7,8.7,32.02400247,1.525413322,9.623677787,-0.234,-2.834813322,NA
UP,AC,UP3B,Late,UPACLate,UP3BAC,2,early,46,176,2.415,G8,53.25344771,3.658499834,2.364,-0.9577,13.7,8.7,21.54016441,5.580741087,8.648693608,-0.051,-6.538441087,3.975062548
UP,AC,UP3B,Late,UPACLate,UP3BAC,2,late,5,244,2.628,G9,NA,3.782057077,2.52,-1.5695,11.5,9.9,35.43218887,1.744617148,9.530783834,-0.108,-3.314117148,NA
UP,AC,UP3B,Late,UPACLate,UP3BAC,2,early,50,176,1.943,G9,11.89326548,3.545490161,2.553,-1.0766,13.5,9.2,27.65285448,1.251409034,9.051636381,0.61,-2.328009034,2.475972314
UP,AC,UP3C,Late,UPACLate,UP3CAC,3,late,202,235,2.294,G9,12.31144474,4.384775337,2.052,-1.5749,10.1,8.2,22.26456548,0.703402109,8.997558992,-0.242,-2.278302109,2.510529296
UP,AC,UP3C,Late,UPACLate,UP3CAC,3,late,203,235,2.502,G8,10.9925457,6.147726245,2.3,-1.4676,9.8,8.5,27.10261433,5.608142361,14.13977036,-0.202,-7.075742361,2.397217379
UP,AC,UP3C,Late,UPACLate,UP3CAC,3,late,205,235,2.495,G9,8.267718386,5.424464334,2.474,-1.6946,10.1,9.2,24.63031106,2.950244483,13.42012476,-0.021,-4.644844483,2.112358581
UP,AC,UP3C,Late,UPACLate,UP3CAC,3,middle,149,211,1.946,G9,94.77451776,3.676581382,2.566,-1.5059,16.5,12.4,26.20238371,0.950004953,9.434107826,0.62,-2.455904953,4.551500573
UP,AC,UP3C,Late,UPACLate,UP3CAC,3,early,77,178,2.01,G8,19.51070193,4.627369436,2.578,-1.4313,15.5,11.1,24.99249201,2.265309847,11.92935841,0.568,-3.696609847,2.970963132
UP,AC,UP3C,Late,UPACLate,UP3CAC,3,late,210,235,2.082,G8,6.69290727,4.143688033,2.606,-1.6685,10.5,9.2,30.02659816,0.703402109,10.79845101,0.524,-2.371902109,1.901048349
UP,AC,UP3C,Late,UPACLate,UP3CAC,3,early,76,178,2.071,G9,12.44305199,5.312961456,2.755,-1.2306,15.7,11.4,14.06358658,2.658709117,14.63720881,0.684,-3.889309117,2.521162394
UP,AC,UP3C,Late,UPACLate,UP3CAC,3,middle,145,211,1.995,G9,58.37101885,4.203959859,2.818,-1.3699,11.5,9.2,21.05253368,2.210426447,11.84675888,0.823,-3.580326447,4.066819514
UP,AC,UP3C,Late,UPACLate,UP3CAC,3,middle,141,211,3.197,G8,138.4499182,4.219027815,2.855,-1.0825,16.3,13.2,19.55953422,NA,12.04532441,-0.342,NA,4.930508659
UP,AC,UP3C,Late,UPACLate,UP3CAC,3,middle,144,211,2.494,G8,59.73283998,4.384775337,2.947,-1.2639,14.6,11.6,31.8660326,2.12822469,12.92193292,0.453,-3.39212469,4.089881953
