wage,educ,race,sex,hispanic,south,married,exper,union,age,sector
7.67,15,W,F,NH,NS,Married,11,Not,32,prof
7.5,12,W,M,NH,NS,Single,17,Not,35,manag
2.85,12,W,M,NH,NS,Single,1,Not,19,other
6.36,12,W,M,NH,NS,Married,9,Not,27,manuf
3.5,9,W,M,NH,NS,Single,48,Not,63,service
11.35,12,W,M,NH,NS,Married,17,Union,35,other
5.5,12,W,F,NH,NS,Married,33,Not,51,clerical
9.15,12,W,M,NH,NS,Married,7,Not,25,other
7.96,14,W,F,NH,NS,Married,12,Not,32,service
5.65,16,W,F,NH,NS,Married,6,Not,28,sales
6,4,W,M,NH,NS,Married,54,Not,64,service
13.45,16,NW,M,NH,S,Single,16,Not,38,prof
3.65,11,W,F,NH,S,Married,8,Not,25,service
6.25,9,W,M,NH,S,Single,30,Union,45,other
5.15,13,W,M,NH,S,Single,1,Union,20,service
26.29,17,W,M,NH,S,Married,32,Not,55,manag
2.01,13,W,M,NH,S,Single,0,Not,19,service
5,12,W,F,NH,S,Single,26,Not,44,clerical
8.75,11,W,F,NH,NS,Single,36,Not,53,service
12.5,14,W,F,NH,NS,Married,19,Not,39,service
4,12,W,M,NH,NS,Single,12,Not,30,service
4.5,16,W,M,NH,NS,Married,21,Not,43,service
6.5,12,W,F,NH,NS,Single,11,Not,29,prof
5.5,12,W,M,NH,NS,Married,10,Not,28,service
6.88,17,W,F,NH,NS,Married,15,Not,38,manag
6.15,16,W,F,NH,NS,Single,16,Not,38,prof
7.78,12,W,M,NH,NS,Married,23,Not,41,manuf
1,12,W,M,NH,NS,Married,24,Not,42,manag
12.5,17,W,F,NH,NS,Married,13,Union,36,prof
8.85,14,NW,F,NH,NS,Married,19,Union,39,clerical
4.35,11,W,F,NH,NS,Married,20,Not,37,service
11.36,18,W,M,NH,NS,Single,5,Not,29,prof
8.93,8,W,M,Hisp,NS,Married,47,Union,61,service
3.5,11,W,F,NH,NS,Married,33,Not,50,sales
26,14,W,M,NH,NS,Married,21,Union,41,other
8,12,W,F,NH,NS,Married,19,Not,37,manuf
16,14,W,M,NH,NS,Married,20,Union,40,other
5.35,12,W,F,NH,NS,Married,13,Not,31,service
23.25,17,NW,F,NH,NS,Married,25,Union,48,prof
8.63,12,NW,F,NH,NS,Married,18,Not,36,clerical
18.5,14,W,F,NH,NS,Single,13,Not,33,manuf
22.2,18,W,M,NH,NS,Married,8,Not,32,prof
16.26,12,NW,M,NH,NS,Single,14,Union,32,service
19.47,12,W,M,NH,NS,Single,9,Not,27,other
